Português	Tupi Antigo
enquanto ele não vem	ture'yma pukuî
A armadilha caiu (apanhando caça)	O'ar mundé
enfeites do rosto	tobá posanga
remédio bom	mosãngatu
Que dê hoje a nós seu filho muito belo	T'oîme'eng kori îandébo o memby-porangeté
Tão logo vindo ele	Oú abé
bola, novelo de lã	inimbó-apu'a
rarissimamente	marangatuabé é
Fez-nos viver, sofrendo a morte	Îandé moingobé, te'õ porarábo
Eu tenho buzina, eu buzino	Xe remimby
Ao chegar o dia oitavo (duas vezes quatro), cortaram seu prepúcio	Mokõî oîoirundyk oito 'ara sykeme, i 'apira mondoki
o que se defronta com a morte	Tegûama porarasara
A gente adora, com efeito, o que é feito de barro?	Nha'uma i monhangymbyra nhẽpe asé oîmoeté?
Tenhamos, de fato, as coisas boas, apartando-as do que é mau	Îarekó é rakó mba'e-katu i poxyba'e suí i mouruébo
este outro (e não ele)	ikoba'e-te
Se tivesses sido bom	Nde marangatu meémo
Nós temos muitas igrejas	Oré tupãoketá
Que bom que existes, ó meu senhor!	Aûîebeté ereîkó xe îar-y gûé!
Não hei de estar na maldade diante dele	Aîkó umẽpe mba'epoxy resé sobaké ká
comichão da pele	mbiremonã
Puxa-o rijamente!	Esekyî-atã!
Procedeste segundo a determinação do padre a ti?	Ereîkópe abaré nde moingoaba rupi?
Aprende acerca da palavra de Deus, em que crerá	Onhembo'e Tupã nhe'enga o emierobîarama resé
Eu estou benzido	Xe karaíb
Por isso mesmo o ladrão é o que deve ser enforcado como pena de seus roubos passados	Nd'e'i te'e abá mondá iî aîubykypyramo oîkóbo o mondarõagûera repyramo nhẽ
meu soltar de grunhidos	xe kororõ-pysyrõ
Eu estou caindo de sono	Xe kerá-kerar
Os bem-aventurados e os santos no céu, que vêem a Deus, ultrapassam o número dos dias que o ano tem	Marangatuba'e, Santos, ybakype Tupã repîakaretá, osasá 'ara ro'y remierekó papasaba
Eis que, na verdade, esse ato é o que tem o dom de nos fazer fracassar	Anhẽ ã aîpó tekó îandé mopanem-y-îara
Queimei carvão	Asapy tatapynha
Rapo-lhe a cabeça	Aî'apin
Castiga o maldito, fazendo-o correr	Moxy oînupã, i monhana
Isso é que deve ser bem amado, isso verdadeiramente	Aîpó saûsukatupyra, aîpó anhẽ
A seu próprio pedido, na cruz o pregaram	Cruz resé i moîari, i îeruresabo é
Aqueles serão os futuros habitantes do fundo do nosso fogo, os que serão queimados	Aîpó îandé ratá gûyra porama, sapypyrama
como este	kó îá
Comedor de carne humana!	Mba'e-poru!
Furtaste na roça de teu próximo?	Eremondarõpe nde rapixaba kópe?
Eis que com seu corpo deve estar sua divindade, nos pedacinhos também, inteiramente	I Tupã irũmo bé kó seté rekóû, pesembûeri pupé bé gûetépe-katu re'a
Eis que ele é mau!	E'i tieté ahẽ maniîabo niã!
Dizendo isso por pequenas coisas	Mba'e-mirĩ resé aîpó o'îabo
O anjo entrou para junto dela	Karaibebé reîkéû i xupé
Mas livra-nos do mal!	Oré pysyrõ-te mba'eaíba suí
Por qual estado seu transparecia sua angústia?	Marã sekó resépe i angekoaíba îekuabi?
Nossas casas estão estabelecidas uma junto da outra	Xe apyri tuî - Ele mora a meu lado O îoapyri oré roka ruî
Eram compridas algumas cordas	Iîysapuku sama amõ
Mas não pode a gente, de modo nenhum, contar o procedimento oculto de alguém?	Nd'e'ikatu angáî-tepe asé abá rekó-nhemima mombegûabo?
Temo ficar preso nesta armadilha	Aîpoûsub ikó mundépe xe rena
O pão que apanhou em suas mãos devolveu-o como seu corpo e o vinho como seu sangue	Miapé o pópe o emiîara i moîebyû o etéramo, kaûĩ og ugûyramo
Ela é muito larga	I popebusu
Junto a si fazendo-vos sentar	O pyri pe mogûapyka
Eu tenho palavras sagazes	Xe nhe'ẽpokarugûar
Não querendo repetir seu pecado que ele detestava	O angaîpagûera o emieroŷrõagûera reroîeby-potare'yma
Que Deus te coloque nas alturas como sua própria filha	T'e'i Tupã nde moingóbo o aîyramo ybaté
Vamos em seu caminho para encontrá-lo	T'îasó sapépe sobaîtĩamo
ainda agorinha	ramo'ĩ
Afirmamos que isso é o que deve ser festejado	Îaîmombe'u aîpó i momorangymbyra
Ah, oxalá ele viesse!	Marãîasûaramo turi mã!
Caminhei o dia todo	Agûatá ko'arapukuî
Nunca acaba de comer, não come fulano completamente as coisas	Nd'o'u-apyî ahẽ mba'e
Urdiste mentiras contra alguém, envergonhando-o, fazendo-o ser tratado como mentiroso?	Eresekyîpe îuraragûaîa abá supé i motĩamo nhe'engabamo serekó-uká?
Bem logo nos livremos	Taûîé-te t'îanhembo'i
Tu não sossegas, não sabendo as ações dos inimigos	Na nde apysyki, tobaîara rekorama kuabe'yma
Veio há pouco por tua causa, adiantando-se aos temiminós	Oú ramõ nde resé, temiminõ rokesyma
Escaparão futuramente os animais de caça, os pássaros, os peixes, as matas?	Okûabépe irã so'o, gûyrá, pirá, ka'a?
Virei-me a cabeça para um e outro lado (dizendo que não queria)	Anheakã-mobabak
Eu tenho puxos	Xe rygeasypu'ãpu'am
Cercando os miseráveis para encher nosso fogo	Muru rokysyma îandé ratá poraká
Estou quieto	Aîubĩote
Detestas completamente a confiança dele em si mesmo?	Ereroŷrõ-mbápe o îoesé i îerobîara?
Deleitaste-te no teu sonho com ela?	Ereîmborype sesé nde posaûsubagûera?
Tu, no paraíso para sempre estás	Endé, Tupã rorypápe aûîeramanhẽ ereîkó
Compadece-te um pouco de mim, ó morte!	Xe raûsubá-mirĩ îepé te'õ gûé!
Os bem-aventurados e os santos no céu, que vêem a Deus, ultrapassam o número dos dias que o ano tem	Marangatuba'e, santos ybakype, Tupã repîakaretá, osasá 'ara ro'y remierekó papasaba
Eu não sou afável	Na xe posykyîéî
Eis que este é o pão verdadeiro	Kó té mi'u-eté
Vem para que faças ir de mim a maldade	Eîori t'eremondó xe suí tekoangaîpaba
Eu estou cambaleando	Xe agûy-agûy
Ele é medianamente grande	Turusu nhote
Eu estou fendido	Xe îurubok
Das cuias ficando a quebrar as pontas, afrontaste os homens	Kuîa nhẽ i tĩ-ngá-tĩ-ngábo, ereîanga'o abá
moço que aprende, moço aprendiz	kunumĩ-nhembo'e
Que somente a ti eu ame	Nde anhõ t'oroaûsu
Esses homens são os que portam riquezas para nós	Aîpó abá ma'e îara îandébe
Nem sequer um só homem pode livrar-se da morte	Oîepé tiruã abá nd'e'ikatuî oîepysyrõmo te'õ suí
Não está em conformidade comigo, não é igual a mim	Na xe îáî
Atrai-me a roupa daquele	Xe momotar ahẽ aoba
Contaste para alguém que tu ficaste passando a mão em mulheres?	Ereîmombe'upe kunhã resé nde pokó-pokokagûera abá supé?
Coze algum cauim	Emoîyb kaûĩ amõ
Como Herodes mandou tratá-lo então?	Marãpe Herodes serekó-ukari a'epe?
Vivo na virtude	Aîkó tekokatu resé
Fui a bom tempo, fui a propósito	Aûîebéramo asó
Hospedar os peregrinos	Atara mombytá
Estou-me apoiando sobre o braço (estando deitado)	Aîeatykok gûitupa
Ralo mandioca	Amie'ẽ
Folgo muito em ouvi-lo	Asendu-potakatu
O tucum é estopento (isto é, fibroso como a estopa)	Tukũ sybyr
Que faz o comungante para fazer Deus ficar consigo?	Marãpe Tupã rasara rekóû o îoesé Tupã mombytábo?
Arranca de minha casa a poeira dos pés	Eîpytybyrok xe roka
Querem afugentar-te	Nde monhegûasẽ-motá
Faze uma igreja que tenha meu nome	Xe reryîara tupãoka eîmonhang
Faço-me estalar as mãos (isto é, dou castanhetas)	Aîepó-mopuruk
A todos os que assim vivem nosso fogo convém	Opá emonã tekoara îandé ratá îaîarõ
Esmigalhei-o	Aîkumirik
Qual foi o primeiro?	Umãba'e ranhẽpe erimba'e oîkó?
Tua pureza seja igual em mim	Nde poropotare'yma t'oîakatu xe resé
O que conta os pecados escondidos de alguém	Abá angaîpá-nhemima oîmombe'uba'e
Para o alto do chamado Monte das Oliveiras levou sua mãe e seus discípulos	Ybytyra Olivete seryba'e apyterybo o sy o boîá rerasóû
licor de aipim	aîpi 'y
tempo, lugar, modo, finalidade, etc de comer, de pastar	karûaba
Por se compadecer de mim, minh'alma faz firme	Xe raûsubasápe, xe 'anga moteni
Eu sou habilidoso	Xe kyre'ym
Não se compadeceu Deus de alguém por causa dos que descenderiam (dele)?	N'osaûsubaripe Tupã amõ abá îeapykaba'erama resé?
Eu sou pontudo	Xe robyr
Matais	Peîuká
Verdadeira morada de Deus, filha de Deus	Tupã rendabeté, Tupã raîyra
Faze perdoar a nós	Emoîerekûab orébo
Mostrai bem o que é essa Santíssima Trindade	Peîmoîekuakatu aîpó Santíssima Trindade rekó
Existe meu auxiliar verdadeiro, o que trabalha junto de mim	Oîkobé xe pytybõanameté, xe pyri marãtekoara
Antigamente frequentavas nossa terra, amando-a	Akûeîme eresapekó oré retama, saûsupa
Até mesmo em Deus este lança palavras	Tupã resé tiruã kó nhe'enga reîtyki
Coisa muito boa é a confissão, como modo de impedir, também, tua ida para o inferno	Mba'e-eté anhẽ nhemombe'u Anhanga ratápe nde sorambûera morambûesabamono
Mas ele não era Deus?	Na Tupã ruã-tepe a'e?
Eu me fico levantando nas pontas dos pés	Xe pyta'ã-ta'am
Olhando detidamente para alguma que foi casada	Mendarûera amõ resé enhemosapysóbo
Quantas vezes te confessaste ou comungaste?	Mobype erenhemombe'u koîpó eretupãar?
Não pode a boca de ninguém contar as coisas muito dolorosas no inferno	Nd'e'ikatuî abá îuru Anhanga ratápe tekó-asyeté mombegûabo
Atravessando o céu, foi, deixando-te	Ybaka rasapa, osó, nde reîá
Tosei-o bem	Aîmoapererá-katu nhote
então, nesse tempo	a'e remengatutenhẽ
Cortei-lhe a garganta, degolei-o	Aîaseó-kytĩ
Eu, em vez disso, quero presas em alguns bêbados	Xe-te, xe rembiá-potá sabeypora amõ resé
Fazemos passar as flechas dos malditos	Îamongûá moxy ru'uba
Sim, eis aqui também minhas garras	Îé, kó bé xe pûãpẽ
Ah, eu fui muito pecador!	Xe angaîpabeté'ĩ ra'u mã!
Aprende acerca da palavra de Deus em que crerá, que cumprirá também	Onhembo'e Tupã nhe'enga o emierobîarama resé o emiporama resé bé
Eram muitos, mesmo, todos os que diziam isso	Setá tenhẽ erimba'e opab aîpó 'îarûera
Virá de novo Jesus Cristo do céu, futuramente?	Our-y bépe irã Îesu Cristo ybaka suíne?
Seus matadores repartiram-nas uns com os outros	I îukasarama oîmoîa'ok o îoupé
Que se abstenha ele de dizer isso	Te'itenhẽumẽ ahẽ aîpó o'îabo
o que é viúvo, o viúvo	seremirekoe'õba'e
no vértice, no ápice	apyteri
É ele o que dá o bem desses, com certeza	A'e aé koba'e katu me'engara re'a
Quase fui	Asosûé
Morreu na velhice (D'Evreux, Viagem, 133), O tuîba'e pupé te'õ kuapa - Conhecendo a morte em sua velhice	Tuîba'epe se'õû
Eu tenho barba ruiva	Xe rendybaá-îub
Eu estou debilitado	Xe aíb
Lanço (à água) a canoa	Aro'ar ygara
Haveria de cair	A'arixûer
Era bela, outrora, Miaí, minha antiga região	I porang, erimba'e, Mia'y, xe retãmbûera
Mesmo dando-o à luz sua mãe bondosa estava virgem?	I mbo'a tiruãpe i xy-angaturama rekóû ababykagûere'ymamo?
Eu sou risonho	Xe pukasûer
costas corcovadas	kupé-asura
Para mãe de Deus é que é feita	Tupã syrama ri i monhangymbyra
Ficai, palermões!	Pepytá, manemusu!
Fico andando à toa	Agûatá-gûatá-tenhẽ
Fico girando em círculos, fico rodeando (como o que se perdeu ou que busca alguma coisa)	Anhatimã-timanĩ
Ilha Grande (antigo nome de ilha das costas do Rio de Janeiro)	Ypa'ũgûasu
Eles, na verdade, em três pessoas se distinguem, na união de seu único ser divino	A'e anhẽ mosapyr pessoaamo i îa'oki, oîepé og ekó-karaíba îese'ara pupé nhẽ
Para cá vem, trazendo farpas junto com o arco	Ké turi, arupare'aka îurupara ndi seru
De madrugada levanto-me	Îeîbé apu'am
Hei de pescar para ti	T'oroporaká
Será que é por isso que Deus transformou a costela de nosso pai primeiro no corpo de sua esposa?	Emonãnamo serã Tupã îandé rubypy arukangûera nhẽ monhangi semirekó retéramo?
Para escutar a palavra de Deus	Tupã nhe'enga rendubagûama resé
Embora tentásseis, estivestes deitados só pouco tempo junto a mim	Pesa'ang îepé, peuî korite'ĩ nhote xe pyri
Bem no teu coração disseste isso?	Nde py'ape-katupe aîpó eré?
Com uma lança espetaram seu flanco, causa de verterem imediatamente dele água e seu sangue	Minusu pupé iî yké kutuki aûnhenhẽ 'y sugûy abé i xuí i 'ẽaûama
o namorado de tua filha	nde raîyra aba'yba
Não me faças demorar	Xe mombuku umẽ îepé
Não digas por aí, falsamente, a respeito de ninguém	Nd' eré mõ tenhẽ umẽ abá resé
Vinde, levai os malditos, erguendo-os, para sapecá-los em nosso fogo	Peîori, perasó muru, supi, îandé ratápe sapeka
Fi-lo meu senhor	Amombiaryîar
Num dia semelhante a este, Santa Maria foi para visitar uma certa prima sua, Santa Isabel	Kó 'ara nungara pupé Santa Maria sóû o ykera amõ ybá Santa Isabel supa
Isto era muito preto, de fato	Moroũ-mbyry nakó
Apartaste alguma mulher de seu marido?	Ereîmombo'irype kunhã amõ i mena suí?
Tu mentiste ao te confessares, disfarçando teus pecados?	Nde remo'emype nde nhemombegûápe, nde angaîpaba mo'anga?
Tu és guardião de mim	Nde morerekoar xe ri
Em vão o padre quer convertê-la a Deus	E'i tenhẽ abaré Tupã resé serobaka potara'upa
Assim como esta água lava o corpo da gente, aquela também	Akó 'y asé reté moîasuka îabé, akûeîa îabé
Eu sou o alegre Ibitirapé, do topo da montanha	Xe rory Ybytyrapé, ybytyrapûá suí
Eu estou adoentado	Xe rekoruînhẽ
se for assim	emonãneme
Suportando as coisas dolorosas por causa de Deus	Mba'e-asy porarábo Tupana resé
Olhando para o órgão sexual da mulher ou do homem	Kunhã koîpó abá remimborará resé oma'ẽmo
Catei-lhe a cabeça	Aî'abiú
a segunda vez dele	i mokõîa
Eu enfeio minh'alma	Xe xe 'anga aîmomoxy
Oponho-me a ele	Asobaîar
Como se eu fosse	Xe só îarameté
o que retribui verdadeiramente o amor de Deus a si	Tupã o aûsuba poepykareté
Após aquele revirar-se do mundo, então os anjos vêm	A'e 'ara îepubur'iré a'ereme karaibebé ruri
um dia muito reluzente	aresakangeté
Mas sua vida é muito má	Sekó-te i poxyeté
Nossa comida, a que é de cada dia, dá hoje para nós	Oré remi'u 'ara îabi'õndûara eîme'eng kori orébe
Na verdade, três vezes negarás ser meu discípulo	Mosapy ipó xe boîáramo nde rekó ereîkuakub
Agora mesmo suas almas quero matar	Ko'yr é i 'anga aîuká-potá
Quando virá?	Moîrãpe turine?
Arrebentando as coisas de alguém	Abá mba'e mombuka
Havemos de chegar ao céu	T'orobasẽne ybakype
Não fomos nós, mas nossos subordinados	Na oré ruã, oré kyra é
Eu sou o grande tamoio Aimbirê	Xe tamũîusu Aîmbiré
Não era Pedro, mas, sim, seu irmão	Na Pero ruã, tybyra a'e
o que profere as ladainhas	Ladainhas ra'angara
Eis que aqui nós estamos	Orokub ikó
Acudi-o	Asopenhan
Quando foi para visitá-la?	Erimba'epe i xóû i xupa?
Vim ainda agora	Aîu ramõ
Muitíssimas coisas más eles acharão	Mba'e-memûãngatupabẽ resé i îekosubyne
Das cuias quebrando as pontas	Kuîa nhẽ i tĩ-ngá-tĩ-ngábo
Vem para me alimentar bem	Eîori xe poîkatûabo
Cubro-o	Aîaso'i
É bonita esta igreja, contendo muitos enfeites!	I porang kó tupãoka, îegûakabetá rerupa!
Que se acautelem futuramente os habitantes da terra para que não creiam nele	T'onhemosako'i irã yby pora t'ogûerobîar umẽ
Vem espantar o diabo para que não nos vença!	Îori anhanga mondyîa oré moaûîé suí!
Fez-nos viver	Îandé moingobé
Por isso mesmo as malditas correm como faíscas de fogo	Nd'e'i te'e moxy onhana tatá piririka îá
Essa fez assim	Emonã ûĩ sekóû
as boas obras dos que são bons	i angaturamba'e remimonhãngatu
a que é (ou deve ser) alforriada	i mokunhãetepyra
Criancinha muito bela, creio muito em ti	Pitangĩ-porangeté, orogûerobîá-katu
comer um ao outro	îo'u
Não brigarão?	- Nd'omarãmonhangi xópene?
É no final da missa que entras sempre, manifestamente consciente?	Missa mondykápe épe ereîké îepi, nde îesûere'yîpe?
Alcovitice, prostituição - não quero que ninguém as deixe	Manhana, sygûaraîy - n'aîpotari abá seîara
Todas as minhas presas de minhas mãos as levou	Opakatu xe rembiara xe pó suí serasóû
raiz fedorenta, SAPOREMA, doença que ataca as plantas	sapó-rema
Derramando o seu sangue, ficaram a açoitá-lo	Sugûy mombukapa, îaînupã-nupã
Cheguei (por mar)	Aîepotar
Mandando fazê-los embarcar numa arca de madeira, semelhante a um navio	Ybyrá karamemûã, ygarusu nungara pupé, i mo'aruká
Mandando fazê-los embarcar numa arca de madeira, semelhante a um navio	Ybyrá karamemûã, ygarusu nungara pupé i mo'ar-uká
Desculpei-me	Aîepysyrõsyrõ
Obedeceu, enfim, Pilatos à sua palavra, então?	Osapîápe Pilatos i nhe'enga a'ereme ko'yté?
Atiras nele, o dia todo, as palavras mentirosas	Nhe'ẽ-porangu ereîapi ko'arapukuî
Espalham pelas aldeias homens que pregam às pessoas	Apŷaba abá mombegûara oîmosãî taba rupi
pelouros grandes que se faziam da mandioca curtida, com que depois davam cor à farinha de guerra	u'i-apu'a
Não nos queremos bem	Nd'oronhoamotari
cotidianamente, a cada dia	ara îabi'õ
E mentindo também aquele que invoca sua alma, que acontece?	O 'anga renõîndara abé o îuraragûaîamo nhẽ, marãpe?
vida longa de minha alma	xe 'anga rekó-puku
Eia, roga por nossa virtude!	Katunhẽ eîerurébo oré katûagûama ri!
Faço trejeitos com a boca	Xe îuru-memûã
propondo ser bom	xe katurama momboîa
querendo ir tu para o lado de gente	mosé esó-potá
Estava agradável a mim meu jogo	I porambyrambykĩ xe nhemosaraîa ixébo
Que faziam aí os que ele faria sair consigo?	Marãpe a'e semienosegûama rekóû a'epe?
Pus-me espertadura	Aîe'atype'a
lêndeas de piolho (do corpo)	mokyrana'yra
a que é (ou deve ser) alforriada	i mokunhãmbyra
muitas coisas miúdas	ta'yrĩ-rĩ
var de peneira	urupemusu
Tão logo ao sair a alma da gente de seu próprio corpo, seu envoltório, Deus a julga	Ogûeté suí, o uru suí, asé 'anga sẽme bé, Tupã sekomonhangi
Eis aqui também a ingapema pintada, para que arrebente a cabeça dos malditos	Kó bé ingapé-kûatiara, t'aîakã-mombuk muru
Para julgar todos os que vivem e os que morreram	Oîkobeba'e, omanõba'epûera pabẽ rekomonhanga
Muito devagar ele o mata (lit, não se mostra ele finalmente matando-o)	Nd'e'i ymûanĩ ahẽ i îukábo
Viemos de longe	Îaîu kûepe suí
Por que a gente reconhece o dia dos santos?	Marãnamope asé santos 'ara kuabi?
Eu hei de bem apanhar-te, na minha armadilha fazendo-te cair	Xe t'oropysy-katu, xe mundépe nde mbo'a
Não foi a meu pai que o dei	Na xe ruba supé ruã aîme'eng
Fundei uma aldeia	Atabypyrung
Ficamos golpeando um ao outro	Oroîoapi - Golpeamos um ao outro Oroîoapi-api
Fico escarnecendo das pessoas	Aporoîaî - Escarneço das pessoas Aporoîá-roîaî
Tu te enfureceste por causa de alguém?	Nde marãmotarype abá resé?
pedra de beiço pontuda	metarapûá
Que fez neste mundo depois que cresceu?	Marãpe sekóû ikó 'ara pupé o kakuab'iré?
De ti a morte não se aproximou	Nde resé te'õ n'osyki
Eu lhe pelo o couro cabeludo	Aî'apirabo'o
Chego-me ao fogo	Arobyk tatá
Enfileirei-os	Aîmoysyrung
Como o saberão?	Marãpe i kugûabine?
Hei de vê-lo	T'asepîáne
Eu tenho palavras afáveis	Xe nhe'engangaturam
cabelos muito arrepiados, grenha	a-tyrá-tyrá
Não encontro nem um pouco, absolutamente, algum ato passado deste homem no mal	N'abasẽ-mirĩ-angáî marãbirĩ ikó abá rekopûera amõ supé
Portanto, prendo-te!	Irõ, oropokosub!
o que se deseja matar	i îuká-potarypyra
(A gente) se humilha, arrependendo-se de suas maldades	Onhemomboreaûsub, o angaîpaba moasŷabo
Ainda é muito cedo para isso	Nd'e'i-angáî
Aquele mesmo	Apó é
Espera, eu hei de ir primeiro	Eambé, xe ranhẽ t'akûáne
um pouquinho mais	pyrybĩ
Há de ser coisa insignificante somente	A'uba nhote i por re'a
O desejo de sumir para longe enche seus corações	Mamõ nhẽ kanhẽ-motara i py'a îaîporaká
para nosso encorajamento	asé mopyatãgûama resé
Isso dizendo, eu não estou tíbio	Aîpó gûi'îabo, n'akyî ixé
Filhos de índios, certamente	Abá ra'yra, ipó
Eu também danço com meus parentes	Xe abé xe anametá aroporaseî
Chegaste perto junto a eles?	Mbype erebasẽ i xupé?
Depois disto, guarda-te de ser mau	Angyba'e roîré teumẽ nde poxyramo
Qual é também o alimento de nossa alma?	Mba'e abépe asé 'anga remi'u?
Qual é o outro meio de curar nossa alma?	Marãpe amoaé îandé 'anga posanongaba?
marca antiga de facada	itá-kysé-porûera
Eis que vou	Asó ikó
Passamos uns atrás dos outros	Orokûaka'ar
Tiveste gozo com tuas lembranças de teus pecados antigos?	Ereîmborype nde angaîpagûera resé nde ma'enduasaba?
Que eu faça brilhar a face escura de Deus para minha alma	T'amoberab Tupã robá-pytuna xe 'anga supé
por baixo das brenhas dela	iî aigûyra rupi nhẽ
a saída do sol, o nascer do sol	kûarasy sembaba
Ah, quem me dera eu fosse para o céu!	Asó temõ ybakype mã!
buraco das orelhas tapados	apysakûá-îe'o
Isso é muito difícil!	Iîabaíbeté aîpó!
o que está junto de Deus	Tupã pyri oîkoba'e
Tragamos quaisquer coisas para esses	T'irur ma'e tiruã anga pé
Para se vingar de seu cão que cria, um homem não o alimenta	O eîmbaba îagûara resé oîepyka, abá n'oîmomba'e'uî
Vai, pois	Ekûãî rõ
Queimou tua alma o fogo dele, descendo	Nde 'anga osapy satá ogûeîypa
Retribuindo seu regozijo com ele	O morybagûera poepyka
Tremeram após te matarem	Oryryî nde îuká ré
Honrando-o falsamente como seu Deus	O Tupãnamo i moeté-a'upa
Eu sou fleumático, eu sou vagaroso	Xe mbegûé
Invocando a Deus ou sua própria alma ou a cruz ou algo verdadeiro	Tupã koîpó o 'anga koîpó cruz koîpó anheté renõîa
Sejamos bons para aqueles homens	T'i marangatu apó abá pé
Eu sou paciente	Xe putumuku
São muito belas estas coisas para nós	I porangeté ã tekó îandébe
Hei de comer hoje seus braços, Jaguaruçu, suas coxas	T'a'u kori i îybapûera, Îagûarusu, i ugûera
Honrar a Deus	Tupã moabaeté
E ao partir muitas vezes o padre a hóstia em pedaços, em cada pedaço dela Nosso Senhor Jesus Cristo está?	A'epe abaré hóstia pese'õ-etá-etáreme i pese'õmbûera îabi'õ Îandé Îara Îesu Cristo rekóû?
a vida que não acabará (isto é, a vida eterna)	tekobé opaba'erame'yma
Não fique ele boquejando a meu respeito	T'e'i tenhẽ umẽ xe ri o îuru'aramo
Apoiando-me na vossa valentia, quero ir	Pe ratãngatu resé gûiîekoka, asó-potá
Num dia semelhante a este	Kó 'ara nungara pupé
Em tuas mãos sentando-se, vai o menino, consolando-te	Nde pópe ogûapyka, osó kunumĩ nde moapysyka
Muito bem! Que venha!	Aûîebeté! T'oú!
esteira da canoa	ygara rakypûera
Que o deixem estar	Te'inhẽne oîkóbo ká
O que alguém acolhe no seu paganismo, no paganismo dele está igualmente?	Og ere'yma pupé abá remipysyrõ oîabé sere'ỹme?
Não perdoa	N'i nhyrõî
Irrita-o, empurra-o para seu fogo	Oîrarõ, oîmoanhã satápe
Fazendo as pessoas detestarem umas às outras	Abá moîoamotare'ymuká
querendo fazer-nos preparar	îandé monhemosako'i-potá
bola de madeira	ybyrapu'a
Junto do diabo lançando-os, com o qual queimará para sempre	Anhanga pyri seîtyka aûîeramanhẽ i kaîagûama
Ungir o padre com óleo bento o que supõe morrer	Nhandy-karaíba pupé abaré omanõ-mo'angyba'e pytuba
Viram somente muitas chamas de fogo, parecidas com nossas línguas	Tatá-endy-etá, asé apekũ-abyare'yma anhõ osepîak
Saí em fuga	Asem îepé
São João criancinha, estando no ventre, ao perceber tua vinda, ficou saltando	São João pitangĩ, tygépe o endápe, nde rura andupápe, o por-oporĩ
Peca muito o homem, benzendo falsamente as pessoas?	I angaîpabetépe abá oporomongaraiba'upa?
Já transborda o cauim	Tynysẽ umã kaûĩ
Somente Deus é a verdade	Tupã anhõ mba'eeté
Não conheço esse homem	N'aîkuabi a'e abá
Por sua morte Deus-Pai bem perdoa a nós?	Se'õagûera resépe Tupã tuba nhyrõngaturamo asébo?
Aqui os homens estão, na verdade, para me ficar ameaçando	Ké abá rekóû anhẽ xe renopu'ã-pu'ama
seu fechamento	i 'o
Frustrei-me	Xe rarûab
Eu sempre ensinei as pessoas publicamente	Te'yîpe memẽ nhẽ ixé aporombo'e
É medianamente grande	Turusu-nhota'ub
Devolvendo sua antiga firmeza	Îepytasokûera eroîeby
Viram somente muitas chamas, parecidas com as línguas da gente	Tataendy-etá, asé apekũ abŷare'yma anhõ osepîak
Sei lá!	Sé ruã!
Não há coisa alguma de que ele não conte os detalhes	Nd'oîkóî mba'e amõ semiasapy-papare'yma re'a
Estareis aflitos hoje	Pe poreaûsu korine
Tu és a manhã, causa verdadeira da alegria do dia	Nde ko'ema, 'ara rorypabeté
Parto	Aîepabok
É muito belo o teu nome	I porãngatu nde rera
Comemoramos este dia, lembrando-nos do tempo em que nô-la fizeram alcançar	Sesé îandé moîekosupagûera resé îandé ma'enduaramo kó 'ara îaîmoeté
remédio portador de cura	mosanga mûeîrabyîara
Fiz-me mulher (isto é, sou uma mulher feita)	Anhemokunhã
Embora eu já tivesse ido	Îepémo xe só umani
Vou beber cauim!	T'aka'une!
Tendo-os no pescoço	O aîuri serekóbo
meu sobrinho	xe ri'yra
Estava-se calando, não respondendo as palavras deles	Opyk o'ama, i nhe'engobaîxûare'yma
Ficando de mal com Deus	Tupã resé oîeerekomemûãmo
Faço agouros para ele	Asaybõ
Ajuntamo-nos	Oronhemondysyk
Abrasou tua alma o fogo dele	Nde 'anga osapy satá
Que não aconteça de alguma coisa te deixar ignorante	Te'itenheumẽ mba'e amõ nde motekokuabe'yma
Mostrando-o aos judeus, querendo fazê-lo ir, sem mais	Îudeus supé sepîakuká, i mondó-nhẽ-motá
Folgo	Aîkonhẽ
Embora não agisse ela velhacamente, bateste com o pau na tua esposa	Marani n'oîkóî îepé, ereropûar ybyrá nde remirekó resé!
Que chegue logo ao lugar de o matarem	T'osyk esapy'a o îukaagûãme
Ele virou cinza completamente	Sugûé-katu
Caem às vezes os frutos de suas árvores sendo ainda flores, outras vezes em seu estado verde, outras vezes caem após madurarem	Okuî rakó amũme 'ybarambûera o 'yba suí 'ybotyramo oîkóbo bé, amõ rakó ogûakyra pupé i kuî, amõ rakó ogûaîub'iré i kuî
Eu sou o grande tamoio Aimbirê, uma sucuriju, um tauató	Xe tamuîusu Aîmbiré, sukuriîu, tagûató
Quem é a que fala a Deus por nós?	Abápe asé resé Tupã mongetasara sekóû?
Eu sou fibroso	Xe raîu-raîu
Que possa nossa alma crer nele, anunciando-o todos os dias	T'e'ikatu oré 'anga serobîá i mombegûabo 'aré-'arebo
Consolando-se com a compaixão de Deus	Tupã o aûsubaraûama resé onhemoapysyka
Calei minhas palavras	Aîopyk xe nhe'enga
Deus deixou de amá-los, n'Ele confiando fracamente	Tupã osaûsupe'a, sesé oîerobîá-bebuîa
A cobra mordeu a Pedro	Mboîa Pedro îaîxu'u
o próprio Pedro, Pedro mesmo	Pedro aé
Eu sou liberal	Xe mosakar
Esse santo, pela primeira vez, fez verter seu sangue	Kó santo ranhẽ ypy og ugûy mo'ẽ-ukar
Toda a aflição envolvendo o homem, enfim	Opá tekotebẽ abá amana ko'yté
